sensor_value
1.40
1.41
1.42
1.42
1.43
1.44
1.45
1.64
2.10
2.46
2.72
2.89
2.98
3.02
3.05
3.06
3.05
3.01
2.97
2.92
2.86
2.80
2.73
2.67
2.63
2.63
2.64
2.67
2.70
2.72
2.73
