"0.00,0.00,0.00,0.00"
"218.90,0.00,0.00,0.03"
"218.80,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"219.20,0.00,0.00,0.03"
"219.20,0.00,0.00,0.03"
"219.10,0.00,0.00,0.03"
"219.20,0.00,0.00,0.03"
"219.30,0.00,0.00,0.03"
"219.10,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"218.80,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"219.00,0.00,0.00,0.03"
"218.90,0.00,0.00,0.03"
"219.20,0.00,0.00,0.03"
"219.10,0.00,0.00,0.03"
"219.20,0.00,0.00,0.03"
"219.20,0.00,0.00,0.03"
"219.10,0.00,0.00,0.03"
"219.10,0.00,0.00,0.03"
"219.20,0.00,0.40,0.03"
"218.90,0.00,0.00,0.03"
"218.80,0.00,0.00,0.03"
"218.80,0.00,0.00,0.03"
