sensor_value
0.81
0.80
0.80
0.80
0.79
0.79
0.78
0.77
0.77
0.78
0.79
0.80
0.80
0.80
0.80
0.80
0.79
0.79
0.80
0.81
0.80
0.81
0.82
0.82
0.81
0.81
0.81
0.80
0.79
0.79
