sensor_value
0.87
0.87
0.87
0.87
0.87
0.87
0.86
0.87
0.86
0.86
0.86
0.94
0.94
0.90
0.90
0.90
0.90
0.90
0.90
0.90
0.91
0.91
0.92
0.94
1.20
1.51
1.91
2.38
2.60
2.70
2.70
2.64
2.57
2.51
2.47
2.49
2.52
2.55
2.57
2.58
2.58
2.59
2.60
2.61
2.63
2.65
2.66
