sensor_value
1.5
1.52
1.63
2.29
2.69
2.88
2.96
2.99
2.98
2.96
2.95
2.92
2.89
2.86
2.78
2.76
2.73
2.71
2.66
2.62
2.61
2.61
2.58
2.55
2.54
2.53
2.53
2.52
2.51
2.5
